date,price(USD),exchangeVolume(USD),generatedCoins,,,,,,,,,,,,,
4/28/2013,135.3,0,4425,,,,,,,,,,,,,
4/29/2013,134.44,0,4349.9988,,,,,,,,,,,,,
4/30/2013,144,0,3725,,,,,,,,,,,,,
5/1/2013,139,0,3775,,,,,,,,,,,,,
5/2/2013,116.38,0,3350,,,,,,,,,,,,,
5/3/2013,106.25,0,3425,,,,,,,,,,,,,
5/4/2013,98.1,0,3975,,,,,,,,,,,,,
5/5/2013,112.9,0,4125,,,,,,,,,,,,,
5/6/2013,115.98,0,4150,,,,,,,,,,,,,
5/7/2013,112.25,0,4200,,,,,,,,,,,,,
5/8/2013,109.6,0,4125,,,,,,,,,,,,,
5/9/2013,113.2,0,4100,,,,,,,,,,,,,
5/10/2013,112.8,0,4300,,,,,,,,,,,,,
5/11/2013,117.7,0,4550,,,,,,,,,,,,,
5/12/2013,115.64,0,4200,,,,,,,,,,,,,
5/13/2013,114.82,0,4350,,,,,,,,,,,,,
5/14/2013,117.98,0,3850,,,,,,,,,,,,,
5/15/2013,111.4,0,3524.9995,,,,,,,,,,,,,
5/16/2013,114.22,0,3700,,,,,,,,,,,,,
5/17/2013,118.21,0,4025,,,,,,,,,,,,,
5/18/2013,123.5,0,3725,,,,,,,,,,,,,
5/19/2013,123.21,0,3900,,,,,,,,,,,,,
5/20/2013,122.5,0,3225,,,,,,,,,,,,,
5/21/2013,122.02,0,3775,,,,,,,,,,,,,
5/22/2013,122.89,0,3900,,,,,,,,,,,,,
5/23/2013,123.8,0,4350,,,,,,,,,,,,,
5/24/2013,126.3,0,4225,,,,,,,,,,,,,
5/25/2013,133.1,0,4125,,,,,,,,,,,,,
5/26/2013,131.99,0,4075,,,,,,,,,,,,,
5/27/2013,133.5,0,4400,,,,,,,,,,,,,
5/28/2013,129.77,0,3950,,,,,,,,,,,,,
5/29/2013,129,0,4200,,,,,,,,,,,,,
5/30/2013,132.25,0,4475,,,,,,,,,,,,,
5/31/2013,128.8,0,4375,,,,,,,,,,,,,
6/1/2013,128.82,0,5325,,,,,,,,,,,,,
